age;turnover;travel;department;distance_from_home;education;field_of_study;employees;id;environment_satisfaction;gender;involvement;job_level;position;job_satisfaction;marital_status;monthly_income;num_companies_worked;over_18;overtime;percent_salary_hike;performance_rating;relationship_satisfaction;total_working_hours;stock_option_level;years_at_company;training_times_last_year;work_life_balance;years_with_curr_manager;years_in_current_role;years_since_last_promotion
41;Yes;Travel_Rarely;Sales;1;University;Life Sciences;1;1;Medium;1.0;High;2;Sales Executive;High;Single;5993;8;Y;Yes;11;High;Low;80;0;8;0;;6;;0
49;No;Travel_Frequently;Research & Development;8;Secondary;Life Sciences;1;2;High;2.0;Medium;2;Research Scientist;Medium;Married;5130;1;Y;No;23;Medium;Very_High;80;1;10;3;;10;;1
37;Yes;Travel_Rarely;Research & Development;2;Secondary;Other;1;4;Very_High;2.0;Medium;1;Laboratory Technician;Medium;Single;2090;6;Y;Yes;15;High;Medium;80;0;7;3;;0;2.0;0
33;No;Travel_Frequently;Research & Development;3;University;Life Sciences;1;5;Very_High;1.0;High;1;Research Scientist;High;Married;2909;1;Y;Yes;11;High;High;80;0;8;3;;8;3.0;3
27;No;Travel_Rarely;Research & Development;2;University;Medical;1;7;Low;1.0;High;1;Laboratory Technician;High;Married;3468;9;Y;No;12;High;Very_High;80;1;6;3;;2;;2
32;No;Travel_Frequently;Research & Development;2;University;Life Sciences;1;8;Very_High;1.0;High;1;Laboratory Technician;High;Single;3068;0;Y;No;13;High;High;80;0;8;2;;7;;3
59;No;Travel_Rarely;Research & Development;3;Master;Medical;1;10;High;2.0;Very_High;1;Laboratory Technician;Very_High;Married;2670;4;Y;Yes;20;Very_High;Low;80;3;12;3;Very_High;1;;0
30;No;Travel_Rarely;Research & Development;24;University;Life Sciences;1;11;Very_High;1.0;High;1;Laboratory Technician;High;Divorced;2693;1;Y;No;22;Very_High;Medium;80;1;1;2;;1;;0
38;No;Travel_Frequently;Research & Development;23;Secondary;Life Sciences;1;12;Very_High;2.0;Medium;3;Manufacturing Director;Medium;Single;9526;0;Y;No;21;Medium;Medium;80;0;10;2;;9;;1
36;No;Travel_Rarely;Research & Development;27;University;Medical;1;13;High;1.0;High;2;Healthcare Representative;High;Married;5237;6;Y;No;13;High;Medium;80;2;17;3;High;7;;7
35;No;Travel_Rarely;Research & Development;16;Master;Medical;1;14;Low;2.0;Very_High;1;Laboratory Technician;Very_High;Married;2426;0;Y;No;13;High;High;80;1;6;5;Very_High;5;;0
29;No;Travel_Rarely;Research & Development;15;Secondary;Life Sciences;1;15;Very_High;2.0;Medium;2;Laboratory Technician;Medium;Single;4193;0;Y;Yes;12;Medium;Very_High;80;0;10;3;;9;2.0;0
31;No;Travel_Rarely;Research & Development;26;University;Life Sciences;1;16;Low;1.0;High;1;Research Scientist;;Divorced;2911;1;Y;No;17;High;Very_High;80;1;5;1;High;5;3.0;4
34;No;Travel_Rarely;Research & Development;19;University;Medical;1;18;Medium;1.0;High;1;Laboratory Technician;High;Divorced;2661;0;Y;No;11;High;High;80;1;3;2;High;2;;1
28;Yes;Travel_Rarely;Research & Development;24;Secondary;Life Sciences;1;19;High;2.0;Medium;1;Laboratory Technician;Medium;Single;2028;5;Y;Yes;14;Medium;Medium;80;0;6;4;;4;;0
